dataset,model,block,alpha,global_viol_pct,global_kupiec_lr,global_kupiec_p,global_christ_p,global_mae,global_es,pre2022_viol_pct,pre2022_kupiec_lr,pre2022_kupiec_p,pre2022_christ_p,pre2022_mae,pre2022_es,post2022_viol_pct,post2022_kupiec_lr,post2022_kupiec_p,post2022_christ_p,post2022_mae,post2022_es
BRVM Composite,BB-R2,1.0,0.05,4.8793,0.061468,0.80419,0.899062,1.03181757,1.31583469,4.2094,1.351129,0.245081,0.532739,1.12675638,1.59181347,5.5227,0.564901,0.452292,0.600925,0.94062389,1.1137788
BRVM Composite,BB-R2,5.0,0.05,4.6278,0.594066,0.440851,0.402343,1.02391354,1.34166814,4.1068,1.737579,0.187446,0.779146,1.12472291,1.64179344,5.1282,0.034807,0.852,0.420537,0.92708086,1.11080253
BRVM Composite,BB-R2,10.0,0.05,4.5775,0.768051,0.380821,0.677834,1.04828886,1.3373614,4.0041,2.176177,0.140162,0.726349,1.14799007,1.62839451,5.1282,0.034807,0.852,0.833965,0.95252063,1.11908657
BRVM Composite,BB-R2,15.0,0.05,4.5775,0.768051,0.380821,0.677834,1.05430858,1.34581547,3.9014,2.6682,0.102372,0.661587,1.15904028,1.652695,5.2268,0.108292,0.742097,0.462822,0.95370831,1.12578864
BRVM Composite,BB-R2,20.0,0.05,4.5775,0.768051,0.380821,0.677834,1.04493652,1.31615987,3.6961,3.817992,0.050705,0.755365,1.14021684,1.61320199,5.4241,0.374023,0.540819,0.553169,0.9534148,1.1217323
BRVM Composite,BB-R2,30.0,0.05,4.5775,0.768051,0.380821,0.677834,1.04086143,1.3280845,3.9014,2.6682,0.102372,0.661587,1.13787946,1.61603136,5.2268,0.108292,0.742097,0.462822,0.94767055,1.12163203
BRVM Composite,BB-R2,35.0,0.05,4.5775,0.768051,0.380821,0.374711,1.03990145,1.3366019,3.9014,2.6682,0.102372,0.674381,1.14874744,1.62668204,5.2268,0.108292,0.742097,0.462822,0.93534918,1.12861992
BRVM Composite,BB-R2,40.0,0.05,4.7284,0.314247,0.575086,0.460803,1.04122709,1.34195803,4.2094,1.351129,0.245081,0.832537,1.1429165,1.61832954,5.2268,0.108292,0.742097,0.462822,0.94354909,1.12816121
BRVM Composite,VaRGARCH_N,,0.05,3.7726,6.86429,0.008794,0.49473,1.13106982,1.45388234,3.5934,4.478681,0.03432,0.525687,1.21638862,1.7086848,3.9448,2.554698,0.109967,0.737201,1.04911664,1.2309302
BRVM Composite,VaRGARCH_S,,0.05,1.8612,53.710048,0.0,0.004482,1.36009562,1.70863218,2.0534,22.683253,2e-06,0.064482,1.47025638,1.94600166,1.6765,31.413218,0.0,0.029681,1.25428046,1.42937397
BRVM Composite,VaReGARCH_N,,0.05,3.7223,7.467207,0.006283,0.203884,1.13056507,1.46439061,3.5934,4.478681,0.03432,0.166522,1.21427827,1.7326235,3.8462,3.077121,0.079401,0.686116,1.05015417,1.22366879
BRVM Composite,VaReGARCH_S,,0.05,1.8109,55.779315,0.0,0.169033,1.36771695,1.71872832,1.7454,28.689988,0.0,0.436815,1.47885157,2.07836062,1.8738,27.135413,0.0,0.047886,1.26096635,1.39695205
BRVM Composite,VaRgGARCH_N,,0.05,3.5714,9.445885,0.002116,0.153085,1.13665194,1.45715921,3.4908,5.19865,0.022604,0.479218,1.2232363,1.70046912,3.6489,4.283332,0.038488,0.199597,1.05348314,1.23357712
BRVM Composite,VaRgGARCH_S,,0.05,1.8109,55.779315,0.0,0.003601,1.3576721,1.67848692,1.9507,24.576141,1e-06,0.05196,1.4719352,1.90137745,1.6765,31.413218,0.0,0.029681,1.24791641,1.42937397
BRVM Composite,VaRaGARCH_N,,0.05,3.7223,7.467207,0.006283,0.463789,1.12965438,1.43903665,3.3881,5.979578,0.014472,0.434608,1.21452169,1.71257659,4.0434,2.084333,0.148817,0.789034,1.04813488,1.21887036
BRVM Composite,VaRaGARCH_S,,0.05,1.8109,55.779315,0.0,0.003601,1.3589031,1.72663537,2.0534,22.683253,2e-06,0.064482,1.46801639,1.94600166,1.5779,33.72843,0.0,0.022769,1.25409408,1.45242751
BRVM Composite,BB-R2,1.0,0.01,1.7103,8.353495,0.003849,0.135709,1.42733709,1.75286715,1.3347,0.997448,0.317929,0.55293,1.57765552,2.338373,2.071,8.975359,0.002736,0.072892,1.28294838,1.39041115
BRVM Composite,BB-R2,5.0,0.01,1.3078,1.734932,0.187782,0.35061,1.48637649,1.84789043,1.0267,0.00695,0.933562,0.648586,1.6922965,2.57110407,1.5779,2.909497,0.088059,0.248972,1.28857955,1.3958819
BRVM Composite,BB-R2,10.0,0.01,1.4085,2.973005,0.084664,0.062363,1.5456938,1.8735163,1.1294,0.158039,0.690969,0.109345,1.76395578,2.52705732,1.6765,3.895648,0.048411,0.285314,1.33604176,1.45063682
BRVM Composite,BB-R2,15.0,0.01,1.4085,2.973005,0.084664,0.410962,1.55435678,1.93301048,1.232,0.493274,0.482471,0.584073,1.77755799,2.53833254,1.5779,2.909497,0.088059,0.248972,1.33996034,1.47901893
BRVM Composite,BB-R2,20.0,0.01,1.2072,0.808933,0.368436,0.294367,1.55405962,1.96531527,1.0267,0.00695,0.933562,0.648586,1.77714917,2.58680692,1.3807,1.326803,0.249375,0.183523,1.33977046,1.52139267
BRVM Composite,BB-R2,30.0,0.01,1.1066,0.220728,0.638486,0.242626,1.57826791,2.03870669,1.0267,0.00695,0.933562,0.648586,1.81565114,2.63654863,1.1834,0.325496,0.568323,0.128214,1.3502489,1.54050508
BRVM Composite,BB-R2,35.0,0.01,1.3078,1.734932,0.187782,0.045861,1.56807038,1.88004828,0.924,0.05827,0.809251,0.681849,1.80524618,2.67322337,1.6765,3.895648,0.048411,0.029681,1.34025061,1.46013205
BRVM Composite,BB-R2,40.0,0.01,1.1569,0.470829,0.492606,0.267911,1.57536399,1.98754708,1.0267,0.00695,0.933562,0.648586,1.8151381,2.58803736,1.2821,0.748151,0.387062,0.154575,1.34504843,1.52563147
BRVM Composite,VaRGARCH_N,,0.01,1.006,0.00073,0.978442,0.19571,1.56083699,2.00355497,0.924,0.05827,0.809251,0.681849,1.69128533,2.49028455,1.0848,0.071697,0.788882,0.104468,1.43553455,1.60532168
BRVM Composite,VaRGARCH_S,,0.01,0.2012,19.060428,1.3e-05,0.898915,2.22523458,2.97449786,0.2053,9.209587,0.002408,0.927676,2.41930117,3.62265434,0.1972,9.852464,0.001696,0.929118,2.03882348,2.32634139
BRVM Composite,VaReGARCH_N,,0.01,1.006,0.00073,0.978442,0.19571,1.55997136,2.00723002,1.0267,0.00695,0.933562,0.648586,1.68764333,2.37510804,0.9862,0.001961,0.964675,0.083339,1.43733576,1.639352
BRVM Composite,VaReGARCH_S,,0.01,0.2515,16.069455,6.1e-05,0.873803,2.24968444,2.72081132,0.308,6.461229,0.011025,0.891645,2.44913328,2.98379128,0.1972,9.852464,0.001696,0.929118,2.0581034,2.32634139
BRVM Composite,VaRgGARCH_N,,0.01,1.0563,0.062583,0.802458,0.218548,1.56909737,1.97565928,1.1294,0.158039,0.690969,0.615975,1.7010812,2.30823718,0.9862,0.001961,0.964675,0.083339,1.44232,1.60982358
BRVM Composite,VaRgGARCH_S,,0.01,0.2012,19.060428,1.3e-05,0.898915,2.21268352,2.97449786,0.2053,9.209587,0.002408,0.927676,2.41559687,3.62265434,0.1972,9.852464,0.001696,0.929118,2.01777463,2.32634139
BRVM Composite,VaRaGARCH_N,,0.01,0.9557,0.039935,0.841608,0.17414,1.55906132,2.04242531,0.924,0.05827,0.809251,0.681849,1.68894666,2.49028455,0.9862,0.001961,0.964675,0.083339,1.43429966,1.639352
BRVM Composite,VaRaGARCH_S,,0.01,0.3018,13.482201,0.000241,0.848804,2.22171145,2.62081486,0.4107,4.394527,0.036054,0.855799,2.41240393,2.7680516,0.1972,9.852464,0.001696,0.929118,2.03854135,2.32634139
